지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
941,2022-01-01 00:00,-1.7,255.6,1.7,0,1029.6,1030.5,27.1,0,0
941,2022-01-01 01:00,-2.1,248.1,1.6,0,1029.8,1030.7,26.7,0,0
941,2022-01-01 02:00,-1.8,332.2,1.7,0,1030.2,1031.1,20.6,0,0
941,2022-01-01 03:00,-3.5,200.2,.5,0,1030.5,1031.4,28.1,0,0
941,2022-01-01 04:00,-3,283.3,.8,0,1029.8,1030.7,26.8,0,0
941,2022-01-01 05:00,-4.1,202.9,2.4,0,1029.5,1030.4,31.7,0,0
941,2022-01-01 06:00,-4.9,251.6,1.3,0,1029.5,1030.4,49.5,0,0
941,2022-01-01 07:00,-5.2,354.3,1.2,0,1030.5,1031.4,43.9,0,0
941,2022-01-01 08:00,-5.2,339.8,1.5,0,1030.4,1031.3,44.3,0,0
941,2022-01-01 09:00,-4.1,355.8,1.2,0,1031.1,1032,39.2,0,0
941,2022-01-01 10:00,-1.7,319.5,1.5,0,1031.5,1032.4,30.4,0,0
941,2022-01-01 11:00,.1,263.7,1.6,0,1031.5,1032.4,22.9,0,0
941,2022-01-01 12:00,2.3,289.8,1,0,1030.4,1031.3,19.7,0,0
941,2022-01-01 13:00,4.1,274,1.4,0,1029,1029.9,16.9,0,0
941,2022-01-01 14:00,5.9,239.6,2.6,0,1028.4,1029.3,17.3,0,0
941,2022-01-01 15:00,6.8,226.1,1.6,0,1027.5,1028.4,11.1,0,0
941,2022-01-01 16:00,6.9,227.3,1.7,0,1027.2,1028.1,8.5,0,0
941,2022-01-01 17:00,5.5,221.8,2.4,0,1027.2,1028.1,15.5,0,0
941,2022-01-01 18:00,3.7,190.1,1.7,0,1027.7,1028.6,22.7,0,0
941,2022-01-01 19:00,3,25,1,0,1027.9,1028.8,24.5,0,0
941,2022-01-01 20:00,1.6,91.5,1.2,0,1027.6,1028.5,27.5,0,0
941,2022-01-01 21:00,.2,0,.3,0,1027.4,1028.3,34.4,0,0
941,2022-01-01 22:00,-.9,0,.2,0,1027.3,1028.2,48.2,0,0
941,2022-01-01 23:00,-1.3,359.9,.8,0,1027.3,1028.2,57,0,0
941,2022-01-02 00:00,-1.1,354.4,.8,0,1027.3,1028.2,52.1,0,0
941,2022-01-02 01:00,-1.8,341,1,0,1026.7,1027.6,53.6,0,0
941,2022-01-02 02:00,-2.3,0,.2,0,1026.5,1027.4,54.8,0,0
941,2022-01-02 03:00,-2.8,0,.2,0,1026.2,1027.1,50.6,0,0
941,2022-01-02 04:00,-2.8,47.8,.9,0,1025.7,1026.6,56.1,0,0
941,2022-01-02 05:00,-3.8,0,.2,0,1025.2,1026.1,57.8,0,0
941,2022-01-02 06:00,-3.8,358.1,.7,0,1025.4,1026.3,61.8,0,0
941,2022-01-02 07:00,-4.2,0,.4,0,1026,1026.9,64.4,0,0
941,2022-01-02 08:00,-4.3,93.6,.5,0,1025.8,1026.7,64.3,0,0
941,2022-01-02 09:00,-2.6,336.4,.8,0,1026.2,1027.1,65.7,0,0
941,2022-01-02 10:00,1,325.5,1,0,1026.5,1027.4,37.2,0,0
941,2022-01-02 11:00,3.4,260.3,1.2,0,1026.1,1027,31.7,0,0
941,2022-01-02 12:00,6.4,224.7,2.7,0,1025.1,1026,23.2,0,0
941,2022-01-02 13:00,8.3,209.2,2.9,0,1024,1024.9,29.4,0,0
941,2022-01-02 14:00,9.5,276.2,4.9,0,1023.2,1024.1,35.6,0,0
941,2022-01-02 15:00,9.7,287.3,4,0,1023.2,1024.1,35.4,0,0
941,2022-01-02 16:00,9.5,299.8,3,0,1023.2,1024.1,34.6,0,0
941,2022-01-02 17:00,8,285.8,3,0,1023.5,1024.4,37.4,0,0
941,2022-01-02 18:00,5.5,218.5,.9,0,1024,1024.9,44.6,0,0
941,2022-01-02 19:00,4.5,85.3,1.2,0,1024.5,1025.4,50.6,0,0
941,2022-01-02 20:00,2.9,90.3,.9,0,1024.9,1025.8,56.1,0,0
941,2022-01-02 21:00,1.5,233.6,.5,0,1025.6,1026.5,64,0,0
941,2022-01-02 22:00,.3,0,.4,0,1025.8,1026.7,69.7,0,0
941,2022-01-02 23:00,-.9,62.6,.5,0,1026.1,1027,73,0,0
941,2022-01-03 00:00,-1.6,.2,.9,0,1025.9,1026.8,78,0,0
941,2022-01-03 01:00,-1.8,356.4,.8,0,1025.7,1026.6,72.4,0,0
941,2022-01-03 02:00,-2.3,0,0,0,1025.7,1026.6,65.1,0,0
